ID,Account Type,Opening Balance,Closing Balance
P00538781,Low Risk,15322.45,12979.41
I03936705,Balanced,36356.45,28104.58
Y04750825,Balanced,69564.53,54182.48
L08912854,Low Risk,39797.41,33891.48
S05068369,High Growth,22611.71,14941.97
F09069407,Balanced,23478.5,17991.68
H01540837,High Growth,24337.01,16114.3
W06000524,High Growth,43552.67,29171.27
Y05520051,High Growth,27876.91,18519.65
E03574040,Balanced,22971.49,17593.53
G04473420,High Growth,58645.78,39426.98
G09707281,High Growth,27862.09,18509.58
M01870862,Balanced,40334.04,31228.13
M03453614,High Growth,40218.78,26905.9
E01734432,High Growth,14091.9,9152.79
B09926579,Balanced,32757.2,25278.13
Y03960716,High Growth,39031.43,26099.1
P05769755,Balanced,51685.24,40142.09
R03556290,Low Risk,33180.05,28237.43
R07738820,High Growth,13780.38,8941.12
W01342334,Low Risk,60235.56,51354.38
H03425412,Balanced,58281.06,45321.71
C02470746,Low Risk,12222.02,10330.32
O06986212,High Growth,45648.6,30595.44
G03604280,Balanced,21885.49,16740.71
Q05286400,Low Risk,15524.45,13152.0
F06890371,High Growth,22984.99,15195.61
O06233273,Balanced,31622.71,24387.23
R01279344,Low Risk,28125.36,23918.56
H07319222,Balanced,63743.86,49611.58
X05787049,Low Risk,45915.94,39119.31
K05114688,Balanced,54654.96,42474.17
Y07773332,Balanced,18381.0,13988.68
N09653943,Balanced,18958.14,14441.9
A07283035,Balanced,24461.15,18763.34
K02508217,Balanced,12910.07,9692.42
O06370127,Balanced,33375.33,25763.54
L06733938,High Growth,10221.8,6523.08
N04519600,High Growth,42131.33,28205.47
N08833188,Balanced,27036.43,20785.68
K09095055,Balanced,30142.51,23224.85
Z06191730,High Growth,36174.3,24157.7
U06154893,Low Risk,46162.38,39329.88
M08613219,Low Risk,25221.04,21437.03
C08706984,Low Risk,19429.44,16488.53
X09738793,High Growth,39661.7,26527.37
A09674515,Balanced,32206.22,24845.45
U04712388,High Growth,31621.23,21063.9
J08992678,Low Risk,28908.31,24587.54
M05156956,High Growth,29157.5,19389.81
H05488157,High Growth,21517.86,14198.7
H03217745,Low Risk,51612.72,43986.8
E01223645,Balanced,23481.11,17993.73
J02694209,High Growth,24982.28,16552.76
G06264088,Low Risk,43880.95,37380.56
B00522202,Balanced,14405.4,10866.69
Y09482222,High Growth,36102.38,24108.83
L08759805,Balanced,17062.85,12953.55
B00496698,Low Risk,81756.1,69742.11
Y00157741,Low Risk,18810.86,15960.0
X03979885,Balanced,16370.63,12409.96
P04154540,Low Risk,17791.49,15089.03
A07656083,Balanced,22075.41,16889.85
C07215852,Balanced,33582.96,25926.59
I08439869,Low Risk,62190.69,53024.9
N06299068,Low Risk,50583.13,43107.09
D00504150,Low Risk,20218.79,17162.98
F09509041,Low Risk,50778.13,43273.7
R03070849,High Growth,23677.46,15666.14
X07944473,High Growth,26315.9,17458.95
S07204249,High Growth,19301.4,12692.63
S05684018,Balanced,24057.84,18446.63
P06877252,Balanced,10444.13,7755.95
Y00978020,High Growth,50640.62,33987.5
C09661082,High Growth,32428.11,21612.17
J07920283,Low Risk,37984.53,32342.5
W07024403,Balanced,27464.49,21121.83
B07480979,High Growth,49918.04,33496.51
Z07074440,Low Risk,23787.06,20211.8
J07129108,Low Risk,39043.15,33247.02
Z04098999,High Growth,42001.47,28117.23
V07457914,High Growth,40035.5,26781.37
C09169555,Balanced,60160.25,46797.41
L09844626,Balanced,32046.4,24719.95
M06264245,Low Risk,58216.3,49629.07
Q00051204,Low Risk,44834.91,38195.65
R09592521,Low Risk,46429.24,39557.89
S05561920,High Growth,20106.71,13239.83
T05507955,High Growth,7346.14,4569.08
Z01272635,High Growth,12978.3,8396.11
G01422351,Low Risk,9772.88,8237.71
I06825012,High Growth,20663.18,13617.95
B05729494,Balanced,24055.83,18445.05
S09565873,Balanced,45138.18,35000.76
R02642863,Low Risk,23450.75,19924.45
W02714228,Low Risk,28417.09,24167.82
F03660033,High Growth,25439.26,16863.28
G07914788,Balanced,35501.49,27433.19
H03739072,Low Risk,37297.46,31755.45
X03637302,Balanced,20070.82,15315.67
L01921662,Balanced,34076.6,26314.24
K01874787,High Growth,39263.43,26256.75
T06258204,Low Risk,95087.87,81133.14
X07935132,Low Risk,18131.1,15379.2
Q05174744,Balanced,23648.66,18125.3
K03561726,High Growth,47819.14,32070.32
B01193798,Balanced,23815.21,18256.09
E04329328,High Growth,29826.9,19844.66
J07965658,Low Risk,11872.91,10032.03
L04079272,Low Risk,50290.13,42856.74
G02480970,Balanced,50157.83,38942.63
H05517077,Low Risk,38535.59,32813.34
Q06300058,Low Risk,24592.63,20900.1
Q07965089,Balanced,35353.13,27316.68
G05597892,Low Risk,23679.49,20119.89
C00846165,Low Risk,27512.69,23395.08
W01613706,High Growth,23936.94,15842.46
W09743863,High Growth,18700.48,12284.3
O04276550,High Growth,53058.58,35630.5
A07019701,High Growth,47294.5,31713.83
W01821294,Low Risk,28951.32,24624.28
X03030702,Balanced,27587.84,21218.7
V08335652,High Growth,55974.91,37612.13
F04257249,High Growth,19045.1,12518.47
P00674031,Low Risk,48087.4,40974.67
I04955718,High Growth,10963.09,7026.78
R08858215,Low Risk,27274.07,23191.2
S03861392,Balanced,37435.43,28951.89
O06541271,High Growth,15409.28,10047.95
J06176983,High Growth,38657.61,25845.09
S00957075,Balanced,36741.6,28407.03
C07314321,Balanced,41322.96,32004.72
E05639796,High Growth,39692.84,26548.53
F05970780,Balanced,21898.25,16750.73
O02296026,Low Risk,64991.9,55418.33
Z00790452,High Growth,30685.06,20427.78
C00230135,Balanced,42323.64,32790.54
L07622157,Low Risk,23655.85,20099.69
H07924559,Low Risk,29010.09,24674.5
D06743286,Low Risk,43594.3,37135.64
H05537433,Low Risk,37250.25,31715.11
U07808545,Balanced,32352.14,24960.04
Z01927837,Low Risk,90830.08,77495.17
Y05261517,Balanced,35017.58,27053.18
V08332524,High Growth,33626.55,22426.51
X00681598,High Growth,36093.11,24102.53
D09250108,Low Risk,32610.67,27750.93
R04974446,High Growth,50414.91,33834.13
S09345360,Low Risk,32735.37,27857.48
L07745222,Low Risk,30137.25,25637.58
B01446646,High Growth,15840.45,10340.93
Z03599465,Low Risk,40407.43,34412.69
J00521193,Low Risk,29690.18,25255.59
M03345246,Low Risk,31690.0,26964.29
E01549535,High Growth,23012.03,15213.99
S09334054,Low Risk,27984.85,23798.51
N00963907,Low Risk,35504.3,30223.33
J00998902,High Growth,41236.6,27597.51
S04689261,Balanced,37797.11,29235.91
Y07583707,Low Risk,21297.86,18084.96
B03600341,Low Risk,12303.83,10400.22
R02112527,High Growth,30795.2,20502.62
W01118138,High Growth,21118.72,13927.49
F08693532,Balanced,29057.04,22372.44
C08757212,High Growth,40518.71,27109.7
I01041114,Low Risk,33910.93,28861.91
H03765931,Balanced,75112.3,58539.07
O08153590,Balanced,31395.35,24208.69
R03640591,Low Risk,48092.04,40978.63
U00112785,Balanced,79702.04,62143.34
L01165200,High Growth,81512.45,54964.79
Q07814549,Low Risk,22654.2,19243.86
Z01564450,High Growth,30503.99,20304.74
D06939653,Balanced,30329.05,23371.33
X07343136,High Growth,47795.72,32054.4
Y01412486,High Growth,21578.46,14239.88
M05110369,Balanced,19486.92,14857.14
F02741254,High Growth,19320.5,12705.61
Q05633167,Low Risk,67492.42,57554.84
P00925224,Balanced,57038.45,44345.9
L03797730,High Growth,37720.81,25208.54
W00940715,Balanced,36782.5,28439.15
R03908671,High Growth,35122.89,23443.27
W01506380,Low Risk,30353.35,25822.22
D05408805,Low Risk,40719.67,34679.48
A08570757,Low Risk,47767.25,40701.12
Z09586611,Balanced,21934.81,16779.44
O03182008,Balanced,27946.07,21500.01
C03175002,Low Risk,48566.27,41383.83
Y09254559,Balanced,53029.9,41198.03
S01734227,High Growth,48854.83,32774.07
R03770596,High Growth,27997.37,18601.5
Q08628007,High Growth,15658.37,10217.2
O09412140,High Growth,46545.6,31204.95
R03417446,Balanced,26845.73,20635.93
H05279586,Balanced,68481.14,53331.71
E01330208,High Growth,67594.26,45507.43
K08845583,High Growth,31768.12,21163.71
D04266865,Low Risk,15521.14,13149.18
B06113227,Low Risk,16401.37,13901.27
R02357155,Low Risk,5799.72,4842.93
U01432595,Low Risk,12149.48,10268.34
Z07316750,Balanced,18790.71,14310.42
W07063519,Low Risk,27161.78,23095.25
U09618231,Balanced,16833.22,12773.22
I03305206,Low Risk,31232.3,26573.22
C04106054,Low Risk,84765.93,72313.79
E07948815,High Growth,8123.69,5097.42
M06656519,Balanced,48355.44,37527.24
B00293105,Low Risk,33333.33,28368.39
V07230518,Balanced,19376.62,14770.52
Z06961364,Balanced,24220.52,18574.38
I06838070,Balanced,43562.99,33763.79
A09990790,High Growth,26261.15,17421.75
K08162408,Low Risk,67993.18,57982.7
X05100895,Balanced,40816.39,31606.91
P05778979,Balanced,36248.16,28019.54
H00564207,Low Risk,25262.86,21472.77
F08717042,High Growth,42382.84,28376.37
Z03662144,Low Risk,47609.0,40565.91
I00776256,Low Risk,33913.72,28864.29
T09734583,Balanced,15030.96,11357.93
X03049287,Balanced,34406.46,26573.27
G01389493,Low Risk,27567.02,23441.5
N02748122,Low Risk,26237.59,22305.6
O06508419,High Growth,91328.9,61635.03
V03152856,Low Risk,28943.16,24617.31
M07934155,High Growth,53402.21,35863.99
H02749842,High Growth,17328.57,11352.1
P00364364,High Growth,32871.65,21913.56
Y07917987,High Growth,57703.14,38786.46
Q04452844,Balanced,44110.98,34194.12
E02587565,Low Risk,29839.95,25383.55
E05113608,Balanced,33844.56,26132.02
S09095573,Low Risk,23508.63,19973.9
Q09151315,High Growth,51964.75,34887.24
E09488200,Low Risk,40956.51,34881.84
W00613801,High Growth,35653.24,23803.64
Y05423308,Balanced,25971.85,19949.68
Q00227964,Low Risk,75091.1,64047.36
R03323250,High Growth,61611.7,41442.31
T02876558,Low Risk,12147.81,10266.91
J04333310,High Growth,29553.64,19658.98
H03321723,High Growth,24699.52,16360.63
G05704531,Balanced,53286.72,41399.71
L08713933,Balanced,30401.27,23428.05
L09380889,Balanced,33111.0,25555.97
E08122109,Balanced,86638.62,67590.55
B05311069,High Growth,64488.58,43397.14
W00150714,Low Risk,55789.27,47555.35
C06050889,High Growth,19662.8,12938.2
X03802253,High Growth,31223.58,20793.7
S09440335,High Growth,25438.12,16862.5
P09998456,High Growth,13522.63,8765.98
N00139504,High Growth,46322.59,31053.42
Y03512471,Low Risk,63829.61,54425.24
W02354840,Low Risk,18032.66,15295.09
I04438745,Low Risk,49683.76,42338.64
K04581345,Balanced,12832.78,9631.73
W03872173,Balanced,71525.86,55722.69
L01514017,Balanced,44018.93,34121.83
V01081503,Low Risk,37221.45,31690.51
U02394439,High Growth,25443.17,16865.94
V03834400,High Growth,46295.96,31035.32
Y08791427,Low Risk,32553.65,27702.21
W09871171,High Growth,16820.57,11006.91
X07824103,High Growth,54991.38,36943.83
W06779493,Low Risk,27230.19,23153.7
A03258875,Low Risk,71125.88,60659.37
Y09760421,High Growth,71063.19,47864.56
O09997834,Balanced,15654.1,11847.27
Q09862144,Balanced,17942.25,13644.13
U03864340,Balanced,48859.2,37922.84
A00889709,Low Risk,31010.96,26384.1
O02692351,Balanced,24694.69,18946.74
H03778011,High Growth,33568.5,22387.06
G09276243,Balanced,18925.97,14416.63
O01899263,High Growth,65336.28,43973.14
U00342767,Low Risk,37014.33,31513.54
J01056544,Balanced,33211.76,25635.09
S03277630,High Growth,35367.57,23609.53
S03828244,Balanced,13057.05,9807.84
C08050553,High Growth,35986.93,24030.38
Y08036776,Balanced,60288.12,46897.83
T05833563,High Growth,27474.07,18245.92
I05810242,Low Risk,39737.54,33840.32
V07404206,High Growth,24688.26,16352.98
G06485984,Balanced,44009.02,34114.05
O08730755,High Growth,67438.54,45401.62
D03433809,Balanced,46373.79,35971.07
G07845106,Low Risk,45760.29,38986.32
M09020682,High Growth,24347.45,16121.4
U00636528,Low Risk,23089.09,19615.44
D09153814,Balanced,34930.65,26984.91
T03050455,Balanced,29498.34,22718.99
X02201815,Low Risk,19526.72,16571.65
C09408229,Balanced,49099.63,38111.64
P06441068,Low Risk,35260.46,30014.98
K00138766,High Growth,20937.61,13804.43
A08477664,Low Risk,20164.74,17116.79
R04354923,Low Risk,33803.09,28769.77
R02350168,Low Risk,30959.52,26340.14
A04184427,Low Risk,36907.83,31422.54
N04042285,Balanced,18820.56,14333.86
S00793879,Low Risk,31261.21,26597.92
S09946579,Balanced,16046.2,12155.19
I08324648,Low Risk,32582.18,27726.59
D06133174,Low Risk,38161.77,32493.94
T05204562,Low Risk,14147.49,11975.49
R00396815,Low Risk,36217.48,30832.69
P05333821,Balanced,36193.36,27976.51
N06242358,Balanced,13702.77,10314.92
M06310168,Balanced,63619.35,49513.8
J09436161,Balanced,7665.24,5573.72
C09039171,Low Risk,58092.66,49523.43
M06641700,High Growth,27985.98,18593.76
P03952557,High Growth,43726.56,29289.43
U01355806,Low Risk,38908.4,33131.88
O04002087,Balanced,52581.65,40846.03
P01450277,Low Risk,38242.85,32563.22
V07637298,High Growth,23520.12,15559.23
W02696954,High Growth,21513.74,14195.9
B05579293,High Growth,12079.53,7785.4
L07239992,Balanced,34143.82,26367.03
B08469275,High Growth,58939.19,39626.35
M00515002,Balanced,17917.14,13624.41
F00518115,High Growth,15851.88,10348.69
V09951394,Balanced,31894.26,24600.47
U04027540,Balanced,21280.65,16265.74
M09761892,High Growth,56568.84,38015.7
N01650132,High Growth,35862.06,23945.53
Y00417328,Low Risk,43879.0,37378.9
T04427640,Balanced,6448.51,4618.24
H02386592,Low Risk,16924.46,14348.21
X03334812,Low Risk,9659.85,8141.13
Q08397677,High Growth,54783.71,36802.72
Q04920416,High Growth,17768.69,11651.16
Q02559420,Low Risk,16987.69,14402.24
E06970492,Low Risk,29855.32,25396.69
X07072117,High Growth,31455.85,20951.53
S05960505,High Growth,40440.66,27056.67
G06044522,Low Risk,14966.91,12675.63
V07129302,Low Risk,28786.68,24483.61
B00114388,High Growth,26261.93,17422.28
V08058147,High Growth,30989.78,20634.83
R07939412,High Growth,26357.29,17487.08
W05958418,Balanced,17239.65,13092.39
S05044278,High Growth,60574.61,40737.61
Y02863850,Low Risk,35250.5,30006.47
Z04498595,High Growth,30441.77,20262.46
Q04647503,Low Risk,19986.14,16964.19
X06376583,Low Risk,41332.44,35203.05
H05772596,High Growth,30097.4,20028.47
L08795089,Balanced,29955.9,23078.3
K04159563,Balanced,25195.35,19339.9
Y04729507,Low Risk,24547.78,20861.78
H04212732,Low Risk,26063.51,22156.86
G02910138,Balanced,29875.25,23014.97
D07750258,Low Risk,100335.67,85617.0
X01294796,Low Risk,59321.27,50573.19
R07525249,High Growth,26491.95,17578.58
Z06150137,Balanced,19307.89,14716.55
I00679052,Low Risk,38661.55,32920.97
R08797069,Low Risk,42850.34,36499.98
T01425601,High Growth,25467.86,16882.71
U03428969,Balanced,20838.46,15918.49
R01580992,Low Risk,43838.18,37344.02
Z01777380,Low Risk,19710.59,16728.76
F01241561,Low Risk,15531.88,13158.35
L06990972,High Growth,31719.66,21130.79
I06505204,Balanced,28373.87,21835.95
Z03884726,Balanced,53381.19,41473.9
S02395936,High Growth,39706.6,26557.88
J09538874,Low Risk,7079.17,5936.13
Q01755634,Balanced,24887.92,19098.48
D04696364,High Growth,14922.26,9717.02
V08650477,Balanced,33961.69,26224.0
O06726098,High Growth,47020.16,31527.41
S07116934,Low Risk,36677.69,31225.9
A07406762,High Growth,28833.66,19169.76
Y05732387,Low Risk,43477.92,37036.2
O00458063,High Growth,28666.19,19055.96
I02593240,High Growth,62906.75,42322.29
R04629206,Balanced,45520.49,35300.99
I00861318,High Growth,30413.04,20242.94
M05379798,Balanced,18619.43,14175.91
C01073536,High Growth,34439.2,22978.7
Q00391923,High Growth,49735.52,33372.49
A07953807,High Growth,66598.84,44831.05
J07024828,Balanced,20460.26,15621.49
J00338467,Balanced,67440.24,52514.3
C03966109,High Growth,31441.47,20941.76
W06428818,High Growth,27861.37,18509.09
W09808525,Low Risk,40938.46,34866.42
A06375241,Low Risk,11702.96,9886.82
Z08826542,Balanced,20819.45,15903.56
Q02617837,High Growth,18676.44,12267.97
F03566988,Low Risk,28236.28,24013.34
V09979984,Balanced,27349.15,21031.25
E08200731,Balanced,8718.77,6401.04
Z07916882,High Growth,14340.74,9321.88
R04297185,High Growth,32989.67,21993.75
A02631875,High Growth,46416.07,31116.94
Y07357844,Balanced,7596.11,5519.43
I07623465,Low Risk,21324.25,18107.51
C07445250,High Growth,40700.26,27233.07
C07963294,High Growth,19994.37,13163.5
K02351383,High Growth,33429.87,22292.87
E08813261,Balanced,73648.64,57389.68
N02832115,High Growth,20323.22,13386.95
A00462146,Balanced,8857.41,6509.92
J01912813,High Growth,23283.17,15398.22
D00672482,High Growth,59601.94,40076.68
F09042876,High Growth,42025.1,28133.29
V04922415,High Growth,26898.78,17855.02
A07937474,High Growth,23409.11,15483.8
R01061376,High Growth,15402.64,10043.44
M02225456,High Growth,30977.39,20626.42
S06889962,Low Risk,53527.13,45622.52
E03252022,Balanced,32339.04,24949.75
X02673124,Low Risk,28052.9,23856.65
S09056645,Balanced,25771.68,19792.49
N05919009,Low Risk,67761.65,57784.88
L06042742,High Growth,25361.96,16810.75
N01338559,Low Risk,34520.09,29382.39
T04618312,Low Risk,28029.13,23836.34
F06935660,Low Risk,35661.76,30357.87
E08536744,High Growth,21422.06,14133.61
K00106293,High Growth,18643.21,12245.39
H07203368,Low Risk,26004.64,22106.56
C04695134,High Growth,46418.29,31118.45
O03418661,Low Risk,18435.48,15639.27
G05621337,High Growth,32390.85,21586.86
R02592505,Balanced,23033.33,17642.09
L01271212,Low Risk,46714.38,39801.52
J08571292,High Growth,43507.27,29140.42
B07151762,Balanced,38560.03,29835.02
J02601930,High Growth,33182.83,22125.0
L06618665,High Growth,43349.42,29033.16
R05236619,Low Risk,46119.79,39293.49
H03617812,Low Risk,19657.57,16683.45
M03189583,High Growth,30841.55,20534.11
V09377093,High Growth,27650.11,18365.54
Q09305219,High Growth,17109.06,11202.94
J01212252,Low Risk,25485.13,21662.68
N06071266,Low Risk,59370.93,50615.62
J07557425,Low Risk,19525.93,16570.98
P07512353,High Growth,35057.11,23398.57
I02171301,High Growth,15548.73,10142.7
J03783035,Low Risk,10385.32,8760.99
L02038379,Low Risk,42990.68,36619.89
S07861875,Balanced,36126.28,27923.83
S09413265,Low Risk,27844.68,23678.74
U03886162,High Growth,18590.02,12209.25
N01797946,Balanced,22034.39,16857.64
R03708975,Balanced,22742.2,17413.47
U05501694,High Growth,44145.31,29573.96
M04534901,Balanced,16209.25,12283.23
T08004453,Balanced,46325.39,35933.06
P07951218,High Growth,48142.37,32289.95
X07255939,Low Risk,29411.7,25017.65
Z05644364,Low Risk,74975.97,63948.99
W04120855,Low Risk,18986.11,16109.74
P03130274,Low Risk,19516.08,16562.56
O09139397,Low Risk,30395.23,25858.0
Z08476575,High Growth,23672.72,15662.92
Z07957036,High Growth,30924.16,20590.25
E09662208,Low Risk,19318.34,16393.61
J03412968,High Growth,22884.73,15127.49
V09535778,Low Risk,13913.82,11775.84
O09967381,High Growth,49869.15,33463.29
D08204457,Balanced,17082.11,12968.67
N05819327,High Growth,23279.06,15395.43
O07414690,Low Risk,72564.0,61888.13
B09243908,High Growth,53424.95,35879.44
T02712618,Balanced,23867.31,18297.01
F05690288,High Growth,25519.62,16917.88
X09827097,Low Risk,24797.2,21074.89
F01760236,Balanced,65408.89,50919.11
O01984582,Low Risk,36168.2,30790.58
D07512296,Low Risk,10021.32,8449.98
Y07037020,Low Risk,36682.72,31230.2
S03543424,High Growth,30866.45,20551.03
V07981480,Low Risk,12777.69,10805.1
M06048056,Balanced,30056.49,23157.3
X02682670,Low Risk,36044.55,30684.93
R02970597,Balanced,30425.06,23446.73
J09516178,Balanced,61282.87,47678.99
D06885348,High Growth,9847.47,6268.72
X09291768,High Growth,24070.15,15932.97
L05670962,Low Risk,47378.53,40368.99
N08018463,Low Risk,15411.96,13055.89
W00128873,Balanced,24016.96,18414.53
I04236434,Low Risk,39453.6,33597.72
J01807176,High Growth,20379.62,13425.27
V06980855,Low Risk,29176.49,24816.68
M03020249,High Growth,29995.92,19959.51
Y05695077,High Growth,44551.32,29849.85
S04910025,High Growth,15404.76,10044.88
M07691992,Low Risk,13125.94,11102.65
L02324869,Low Risk,31574.47,26865.57
Q01608520,High Growth,54809.07,36819.95
H02148476,High Growth,30382.02,20221.86
A02921512,Low Risk,25208.3,21426.15
T06983832,Balanced,81430.71,63500.85
G00811072,Low Risk,21066.33,17887.14
I05443297,Balanced,37948.21,29354.57
L06387446,Balanced,33387.71,25773.26
B00352488,Low Risk,54364.85,46338.29
R03315348,Low Risk,26114.3,22200.26
Z07905931,Balanced,36946.03,28567.57
P09519147,High Growth,15706.43,10249.86
Z09633194,Low Risk,69614.77,59368.23
Y02181324,Low Risk,35076.66,29857.94
G08020315,Balanced,17933.85,13637.53
G06082150,High Growth,24575.2,16276.15
A05859127,High Growth,60321.29,40565.48
G09635639,Balanced,21834.99,16701.05
H01356839,Balanced,31601.22,24370.35
I06826926,Low Risk,24298.9,20649.13
I03909569,Balanced,30153.5,23233.48
H04790800,Low Risk,33982.78,28923.3
F03699071,Balanced,42323.8,32790.66
